QuantityType	SBMLReactionID	SBMLSpeciesID	Value	Mean	Std	Unit	Provenance	Type	Source	logMean	logStd	Temperature	pH	Minimum	Maximum
concentration of enzyme	re12		1.09336546122551	1.09336546122551	0.5130906908769499	mM									
concentration of enzyme	re13		0.6814532689362737	0.6814532689362737	0.31760768243301535	mM									
concentration of enzyme	re14		0.40896689205448805	0.40896689205448805	0.19262933476219377	mM									
concentration of enzyme	re15		0.8573664197956041	0.8573664197956041	0.40169836238518447	mM									
concentration of enzyme	re16		1.842653946227256	1.842653946227256	0.8605977203295064	mM									
concentration of enzyme	re17		1.2517929577812037	1.2517929577812037	0.5881361018830105	mM									
concentration of enzyme	re18		3.367885345785481	3.367885345785481	1.581982294386895	mM									
concentration of enzyme	re20		0.6531389442724598	0.6531389442724598	0.30694865493520634	mM									
concentration of enzyme	re21		1.319613179764683	1.319613179764683	0.6202105293948962	mM									
concentration of enzyme	re22		3.340604409596151	3.340604409596151	1.567187176706579	mM									
concentration of enzyme	re23		2.953776368304765	2.953776368304765	1.386602367863061	mM									
concentration of enzyme	re24		1.0486743662416576	1.0486743662416576	0.49538816071156727	mM									
concentration of enzyme	re25		1.0406464229775225	1.0406464229775225	0.4890911142625705	mM									
concentration of enzyme	re26		6.6605890714945035	6.6605890714945035	3.1381082714051822	mM									
concentration of enzyme	re27		2.7010972755361693	2.7010972755361693	1.2671250086101682	mM									
concentration of enzyme	re28		1.5968548686768642	1.5968548686768642	0.7499235416003254	mM									
concentration of enzyme	re29		1.969569249603222	1.969569249603222	0.922486394536266	mM									
concentration of enzyme	re30		1.1511983969558743	1.1511983969558743	0.5406429508575975	mM									
concentration of enzyme	re31		2.9408629506358266	2.9408629506358266	1.376669425399272	mM									
concentration of enzyme	re32		1.4424318048662481	1.4424318048662481	0.6752889644953615	mM									
concentration of enzyme	re33		0.5481956921443629	0.5481956921443629	0.25572519933464327	mM									
catalytic rate constant geometric mean	re12		2.2984629953487485	2.2984629953487485	0.9289350794613377	1/s									
catalytic rate constant geometric mean	re13		1.6314639554415418	1.6314639554415418	0.6564827701887861	1/s									
catalytic rate constant geometric mean	re14		1.1267153711512752	1.1267153711512752	0.45644760259481987	1/s									
catalytic rate constant geometric mean	re15		1.926993388210245	1.926993388210245	0.7780061064135381	1/s									
catalytic rate constant geometric mean	re16		3.3556395629083107	3.3556395629083107	1.3520638501754172	1/s									
catalytic rate constant geometric mean	re17		2.535377585208516	2.535377585208516	1.0254662354719022	1/s									
catalytic rate constant geometric mean	re18		5.195865497018881	5.195865497018881	2.1012218272377443	1/s									
catalytic rate constant geometric mean	re20		1.5820335975336317	1.5820335975336317	0.6399823371883352	1/s									
catalytic rate constant geometric mean	re21		2.634237856251067	2.634237856251067	1.0656828869581803	1/s									
catalytic rate constant geometric mean	re22		5.165318236799214	5.165318236799214	2.0871794270491857	1/s									
catalytic rate constant geometric mean	re23		4.7244216501474146	4.7244216501474146	1.9098080018838428	1/s									
catalytic rate constant geometric mean	re24		2.229961861046457	2.229961861046457	0.9050852074645379	1/s									
catalytic rate constant geometric mean	re25		2.217572561748433	2.217572561748433	0.8971128042896007	1/s									
catalytic rate constant geometric mean	re26		8.518540698059255	8.518540698059255	3.4515925201782562	1/s									
catalytic rate constant geometric mean	re27		4.427843304815661	4.427843304815661	1.7891400082885	1/s									
catalytic rate constant geometric mean	re28		3.0248032460323993	3.0248032460323993	1.2230710844322197	1/s									
catalytic rate constant geometric mean	re29		3.521658217247319	3.521658217247319	1.4215340555899416	1/s									
catalytic rate constant geometric mean	re30		2.385976228348419	2.385976228348419	0.9647756550173809	1/s									
catalytic rate constant geometric mean	re31		4.709438574495199	4.709438574495199	1.9003324233385073	1/s									
catalytic rate constant geometric mean	re32		2.80979451356052	2.80979451356052	1.1338621616780489	1/s									
